"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",3847,0.97,1434635,268.15
"BC",12946,3.27,3634868,356.16
"BCS",3894,0.98,804708,483.9
"Camp",4376,1.11,1000617,437.33
"CDMX",84556,21.38,9018645,937.57
"Chih",4850,1.23,3801487,127.58
"Chis",5446,1.38,5730367,95.04
"Coah",11584,2.93,3218720,359.89
"Col",1641,0.41,785153,209
"Dgo",3745,0.95,1868996,200.37
"EdoMex",35480,8.97,17427790,203.58
"Gro",9863,2.49,3657048,269.7
"Gto",18452,4.67,6228175,296.27
"Hgo",6142,1.55,3086414,199
"Jal",12264,3.1,8409693,145.83
"Mich",9173,2.32,4825401,190.1
"Mor",3697,0.93,2044058,180.87
"Nay",3161,0.8,1288571,245.31
"NL",15665,3.96,5610153,279.23
"Oax",9768,2.47,4143593,235.74
"Pue",19159,4.84,6604451,290.09
"Qro",3526,0.89,2279637,154.67
"QRoo",7164,1.81,1723259,415.72
"Sin",12346,3.12,3156674,391.11
"SLP",7980,2.02,2866142,278.42
"Son",16698,4.22,3074745,543.07
"Tab",20133,5.09,2572287,782.69
"Tamps",13685,3.46,3650602,374.87
"Tlax",3904,0.99,1380011,282.9
"Ver",19189,4.85,8539862,224.7
"Yuc",8803,2.23,2259098,389.67
"Zac",2352,0.59,1666426,141.14
"Nacional",395489,99.98,127792286,309.48
