"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",3688,0.99,1434635,257.07
"BC",12423,3.35,3634868,341.77
"BCS",3468,0.94,804708,430.96
"Camp",3962,1.07,1000617,395.96
"CDMX",81182,21.9,9018645,900.16
"Chih",4631,1.25,3801487,121.82
"Chis",5330,1.44,5730367,93.01
"Coah",10510,2.84,3218720,326.53
"Col",1343,0.36,785153,171.05
"Dgo",3473,0.94,1868996,185.82
"EdoMex",34433,9.29,17427790,197.58
"Gro",9373,2.53,3657048,256.3
"Gto",16269,4.39,6228175,261.22
"Hgo",5754,1.55,3086414,186.43
"Jal",11507,3.1,8409693,136.83
"Mich",8676,2.34,4825401,179.8
"Mor",3587,0.97,2044058,175.48
"Nay",2947,0.79,1288571,228.7
"NL",13846,3.73,5610153,246.8
"Oax",9190,2.48,4143593,221.79
"Pue",18115,4.89,6604451,274.28
"Qro",3306,0.89,2279637,145.02
"QRoo",6506,1.76,1723259,377.54
"Sin",11929,3.22,3156674,377.9
"SLP",6778,1.83,2866142,236.49
"Son",15687,4.23,3074745,510.19
"Tab",18886,5.09,2572287,734.21
"Tamps",12421,3.35,3650602,340.25
"Tlax",3673,0.99,1380011,266.16
"Ver",17739,4.79,8539862,207.72
"Yuc",8008,2.16,2259098,354.48
"Zac",2072,0.56,1666426,124.34
"Nacional",370712,100.01,127792286,290.09
