"Entidad","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"Ags","53","1.67","1434635","3.69"
"BC","225","7.07","3634868","6.19"
"BCS","68","2.14","804708","8.45"
"Camp","14","0.44","1000617","1.4"
"CDMX","855","26.88","9018645","9.48"
"Chih","29","0.91","3801487","0.76"
"Chis","32","1.01","5730367","0.56"
"Coah","122","3.84","3218720","3.79"
"Col","7","0.22","785153","0.89"
"Dgo","15","0.47","1868996","0.8"
"EdoMex","354","11.13","17427790","2.03"
"Gro","47","1.48","3657048","1.29"
"Gto","67","2.11","6228175","1.08"
"Hgo","46","1.45","3086414","1.49"
"Jal","139","4.37","8409693","1.65"
"Mich","36","1.13","4825401","0.75"
"Mor","26","0.82","2044058","1.27"
"Nay","12","0.38","1288571","0.93"
"NL","98","3.08","5610153","1.75"
"Oax","37","1.16","4143593","0.89"
"Pue","183","5.75","6604451","2.77"
"Qro","47","1.48","2279637","2.06"
"QRoo","143","4.5","1723259","8.3"
"Sin","125","3.93","3156674","3.96"
"SLP","43","1.35","2866142","1.5"
"Son","46","1.45","3074745","1.5"
"Tab","112","3.52","2572287","4.35"
"Tamps","43","1.35","3650602","1.18"
"Tlax","23","0.72","1380011","1.67"
"Ver","49","1.54","8539862","0.57"
"Yuc","74","2.33","2259098","3.28"
"Zac","11","0.35","1666426","0.66"
"Nacional","3181","100.03","127792286","2.49"
