"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",264,0.55,4247,6.22
"BC",2655,5.53,13681,19.41
"BCS",181,0.38,4656,3.89
"Camp",523,1.09,4793,10.91
"CDMX",9032,18.81,91535,9.87
"Chih",899,1.87,5346,16.82
"Chis",922,1.92,5580,16.52
"Coah",677,1.41,13660,4.96
"Col",228,0.47,2044,11.15
"Dgo",282,0.59,4286,6.58
"EdoMex",6536,13.61,38627,16.92
"Gro",1394,2.9,11151,12.5
"Gto",1009,2.1,21999,4.59
"Hgo",1094,2.28,6946,15.75
"Jal",1601,3.33,13687,11.7
"Mich",778,1.62,10339,7.52
"Mor",843,1.76,3964,21.27
"Nay",400,0.83,3533,11.32
"NL",1145,2.38,19438,5.89
"Oax",953,1.98,10745,8.87
"Pue",2503,5.21,20793,12.04
"Qro",505,1.05,3969,12.72
"QRoo",1018,2.12,7966,12.78
"Sin",2248,4.68,12878,17.46
"SLP",547,1.14,10599,5.16
"Son",2001,4.17,18038,11.09
"Tab",2048,4.27,22688,9.03
"Tamps",1040,2.17,17289,6.02
"Tlax",687,1.43,4315,15.92
"Ver",2831,5.9,21626,13.09
"Yuc",916,1.91,10513,8.71
"Zac",252,0.52,2882,8.74
"Nacional",48012,99.98,443813,10.82
