"Grupo","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"0 a 9","40","0.86","21849433","0.18"
"10 a 19","76","1.63","22185367","0.34"
"20 a 29","636","13.65","21479518","2.96"
"30 a 39","1016","21.8","18897970","5.38"
"40 a 49","1068","22.91","16198907","6.59"
"50 a 59","898","19.27","12720337","7.06"
"60 a 69","568","12.19","8199671","6.93"
"70 a 79","269","5.77","4225668","6.37"
"80 y mas","90","1.93","2035415","4.42"
"Total","4661","100.01","127792286","3.65"
