"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",387,1.01,1434635,26.98
"BC",2600,6.78,3634868,71.53
"BCS",399,1.04,804708,49.58
"Camp",281,0.73,1000617,28.08
"CDMX",12572,32.8,9018645,139.4
"Chih",730,1.9,3801487,19.2
"Chis",419,1.09,5730367,7.31
"Coah",586,1.53,3218720,18.21
"Col",41,0.11,785153,5.22
"Dgo",122,0.32,1868996,6.53
"EdoMex",4521,11.8,17427790,25.94
"Gro",591,1.54,3657048,16.16
"Gto",547,1.43,6228175,8.78
"Hgo",595,1.55,3086414,19.28
"Jal",671,1.75,8409693,7.98
"Mich",632,1.65,4825401,13.1
"Mor",856,2.23,2044058,41.88
"Nay",233,0.61,1288571,18.08
"NL",694,1.81,5610153,12.37
"Oax",265,0.69,4143593,6.4
"Pue",1186,3.09,6604451,17.96
"Qro",291,0.76,2279637,12.77
"QRoo",1135,2.96,1723259,65.86
"Sin",1588,4.14,3156674,50.31
"SLP",313,0.82,2866142,10.92
"Son",530,1.38,3074745,17.24
"Tab",1861,4.86,2572287,72.35
"Tamps",789,2.06,3650602,21.61
"Tlax",411,1.07,1380011,29.78
"Ver",1448,3.78,8539862,16.96
"Yuc",877,2.29,2259098,38.82
"Zac",153,0.4,1666426,9.18
"Nacional",38324,99.98,127792286,29.99
