"Entidad","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"Ags","48","1434635","3.35"
"BC","52","3634868","1.43"
"BCS","21","804708","2.61"
"Camp","6","1000617","0.6"
"CDMX","384","9018645","4.26"
"Chih","12","3801487","0.32"
"Chis","18","5730367","0.31"
"Coah","70","3218720","2.17"
"Col","4","785153","0.51"
"Dgo","8","1868996","0.43"
"EdoMex","177","17427790","1.02"
"Gro","24","3657048","0.66"
"Gto","52","6228175","0.83"
"Hgo","30","3086414","0.97"
"Jal","116","8409693","1.38"
"Mich","24","4825401","0.5"
"Mor","12","2044058","0.59"
"Nay","8","1288571","0.62"
"NL","85","5610153","1.52"
"Oax","22","4143593","0.53"
"Pue","109","6604451","1.65"
"Qro","35","2279637","1.54"
"QRoo","65","1723259","3.77"
"Sin","51","3156674","1.62"
"SLP","35","2866142","1.22"
"Son","22","3074745","0.72"
"Tab","73","2572287","2.84"
"Tamps","16","3650602","0.44"
"Tlax","8","1380011","0.58"
"Ver","35","8539862","0.41"
"Yuc","59","2259098","2.61"
"Zac","7","1666426","0.42"
"Nacional","1688","127792286","1.32"
