"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",4466,0.95,1434635,311.3
"BC",14108,3.01,3634868,388.13
"BCS",5130,1.09,804708,637.5
"Camp",5013,1.07,1000617,500.99
"CDMX",95612,20.37,9018645,1060.16
"Chih",5699,1.21,3801487,149.92
"Chis",5678,1.21,5730367,99.09
"Coah",15003,3.2,3218720,466.12
"Col",2232,0.48,785153,284.28
"Dgo",4571,0.97,1868996,244.57
"EdoMex",40583,8.65,17427790,232.86
"Gro",11738,2.5,3657048,320.97
"Gto",23516,5.01,6228175,377.57
"Hgo",7431,1.58,3086414,240.76
"Jal",14573,3.1,8409693,173.29
"Mich",10871,2.32,4825401,225.29
"Mor",4142,0.88,2044058,202.64
"Nay",3739,0.8,1288571,290.17
"NL",21188,4.51,5610153,377.67
"Oax",11304,2.41,4143593,272.81
"Pue",22349,4.76,6604451,338.39
"Qro",4342,0.92,2279637,190.47
"QRoo",8424,1.79,1723259,488.84
"Sin",13590,2.9,3156674,430.52
"SLP",11732,2.5,2866142,409.33
"Son",18915,4.03,3074745,615.17
"Tab",23960,5.1,2572287,931.47
"Tamps",17728,3.78,3650602,485.62
"Tlax",4554,0.97,1380011,330
"Ver",22752,4.85,8539862,266.42
"Yuc",11273,2.4,2259098,499
"Zac",3191,0.68,1666426,191.49
"Nacional",469407,100,127792286,367.32
