"Entidad","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"Ags","47","1434635","3.28"
"BC","40","3634868","1.1"
"BCS","19","804708","2.36"
"Camp","5","1000617","0.5"
"CDMX","327","9018645","3.63"
"Chih","11","3801487","0.29"
"Chis","15","5730367","0.26"
"Coah","62","3218720","1.93"
"Col","3","785153","0.38"
"Dgo","8","1868996","0.43"
"EdoMex","171","17427790","0.98"
"Gro","22","3657048","0.6"
"Gto","50","6228175","0.8"
"Hgo","26","3086414","0.84"
"Jal","104","8409693","1.24"
"Mich","24","4825401","0.5"
"Mor","9","2044058","0.44"
"Nay","8","1288571","0.62"
"NL","84","5610153","1.5"
"Oax","22","4143593","0.53"
"Pue","100","6604451","1.51"
"Qro","32","2279637","1.4"
"QRoo","56","1723259","3.25"
"Sin","42","3156674","1.33"
"SLP","33","2866142","1.15"
"Son","21","3074745","0.68"
"Tab","62","2572287","2.41"
"Tamps","13","3650602","0.36"
"Tlax","5","1380011","0.36"
"Ver","29","8539862","0.34"
"Yuc","53","2259098","2.35"
"Zac","7","1666426","0.42"
"Nacional","1510","127792286","1.18"
