"Entidad","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"Ags","53","1434635","3.69"
"BC","136","3634868","3.74"
"BCS","56","804708","6.96"
"Camp","14","1000617","1.4"
"CDMX","723","9018645","8.02"
"Chih","22","3801487","0.58"
"Chis","28","5730367","0.49"
"Coah","109","3218720","3.39"
"Col","5","785153","0.64"
"Dgo","15","1868996","0.8"
"EdoMex","320","17427790","1.84"
"Gro","37","3657048","1.01"
"Gto","61","6228175","0.98"
"Hgo","41","3086414","1.33"
"Jal","135","8409693","1.61"
"Mich","34","4825401","0.7"
"Mor","24","2044058","1.17"
"Nay","10","1288571","0.78"
"NL","93","5610153","1.66"
"Oax","35","4143593","0.84"
"Pue","179","6604451","2.71"
"Qro","45","2279637","1.97"
"QRoo","135","1723259","7.83"
"Sin","111","3156674","3.52"
"SLP","41","2866142","1.43"
"Son","35","3074745","1.14"
"Tab","108","2572287","4.2"
"Tamps","32","3650602","0.88"
"Tlax","18","1380011","1.3"
"Ver","46","8539862","0.54"
"Yuc","74","2259098","3.28"
"Zac","10","1666426","0.6"
"Nacional","2785","127792286","2.18"
