"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",296,1.07,1434635,20.63
"BC",2126,7.69,3634868,58.49
"BCS",358,1.3,804708,44.49
"Camp",202,0.73,1000617,20.19
"CDMX",8814,31.9,9018645,97.73
"Chih",600,2.17,3801487,15.78
"Chis",259,0.94,5730367,4.52
"Coah",489,1.77,3218720,15.19
"Col",29,0.1,785153,3.69
"Dgo",90,0.33,1868996,4.82
"EdoMex",3374,12.21,17427790,19.36
"Gro",398,1.44,3657048,10.88
"Gto",342,1.24,6228175,5.49
"Hgo",393,1.42,3086414,12.73
"Jal",494,1.79,8409693,5.87
"Mich",436,1.58,4825401,9.04
"Mor",597,2.16,2044058,29.21
"Nay",142,0.51,1288571,11.02
"NL",520,1.88,5610153,9.27
"Oax",197,0.71,4143593,4.75
"Pue",927,3.35,6604451,14.04
"Qro",189,0.68,2279637,8.29
"QRoo",970,3.51,1723259,56.29
"Sin",1257,4.55,3156674,39.82
"SLP",185,0.67,2866142,6.45
"Son",304,1.1,3074745,9.89
"Tab",1305,4.72,2572287,50.73
"Tamps",416,1.51,3650602,11.4
"Tlax",287,1.04,1380011,20.8
"Ver",839,3.04,8539862,9.82
"Yuc",684,2.48,2259098,30.28
"Zac",115,0.42,1666426,6.9
"Nacional",27634,100.01,127792286,21.62
