"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",307,0.92,1434635,21.4
"BC",2392,7.15,3634868,65.81
"BCS",377,1.13,804708,46.85
"Camp",250,0.75,1000617,24.98
"CDMX",10911,32.61,9018645,120.98
"Chih",657,1.96,3801487,17.28
"Chis",355,1.06,5730367,6.2
"Coah",553,1.65,3218720,17.18
"Col",36,0.11,785153,4.59
"Dgo",107,0.32,1868996,5.72
"EdoMex",4025,12.03,17427790,23.1
"Gro",453,1.35,3657048,12.39
"Gto",445,1.33,6228175,7.14
"Hgo",489,1.46,3086414,15.84
"Jal",595,1.78,8409693,7.08
"Mich",574,1.72,4825401,11.9
"Mor",760,2.27,2044058,37.18
"Nay",199,0.59,1288571,15.44
"NL",616,1.84,5610153,10.98
"Oax",221,0.66,4143593,5.33
"Pue",1076,3.22,6604451,16.29
"Qro",230,0.69,2279637,10.09
"QRoo",1062,3.17,1723259,61.63
"Sin",1401,4.19,3156674,44.38
"SLP",237,0.71,2866142,8.27
"Son",440,1.32,3074745,14.31
"Tab",1584,4.73,2572287,61.58
"Tamps",710,2.12,3650602,19.45
"Tlax",364,1.09,1380011,26.38
"Ver",1114,3.33,8539862,13.04
"Yuc",784,2.34,2259098,34.7
"Zac",136,0.41,1666426,8.16
"Nacional",33460,100.01,127792286,26.18
