"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",439,0.85,21849433,2.01
"10 a 19",783,1.52,22185367,3.53
"20 a 29",5824,11.28,21479518,27.11
"30 a 39",11207,21.71,18897970,59.3
"40 a 49",12167,23.56,16198907,75.11
"50 a 59",10449,20.24,12720337,82.14
"60 a 69",6315,12.23,8199671,77.02
"70 a 79",3111,6.03,4225668,73.62
"80 y mas",1338,2.59,2035415,65.74
"Nacional",51633,100.01,127792286,40.4
