"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",2163,1.04,1434635,150.77
"BC",8628,4.14,3634868,237.37
"BCS",1369,0.66,804708,170.12
"Camp",1764,0.85,1000617,176.29
"CDMX",55909,26.83,9018645,619.93
"Chih",2911,1.4,3801487,76.58
"Chis",4110,1.97,5730367,71.72
"Coah",3686,1.77,3218720,114.52
"Col",492,0.24,785153,62.66
"Dgo",1675,0.8,1868996,89.62
"EdoMex",22957,11.02,17427790,131.73
"Gro",4783,2.3,3657048,130.79
"Gto",6450,3.1,6228175,103.56
"Hgo",3568,1.71,3086414,115.6
"Jal",6106,2.93,8409693,72.61
"Mich",5450,2.62,4825401,112.94
"Mor",2636,1.26,2044058,128.96
"Nay",1486,0.71,1288571,115.32
"NL",4724,2.27,5610153,84.2
"Oax",4735,2.27,4143593,114.27
"Pue",9440,4.53,6604451,142.93
"Qro",1968,0.94,2279637,86.33
"QRoo",3284,1.58,1723259,190.57
"Sin",7782,3.73,3156674,246.53
"SLP",2645,1.27,2866142,92.28
"Son",6498,3.12,3074745,211.33
"Tab",9817,4.71,2572287,381.64
"Tamps",5249,2.52,3650602,143.78
"Tlax",2171,1.04,1380011,157.32
"Ver",9345,4.48,8539862,109.43
"Yuc",3813,1.83,2259098,168.78
"Zac",778,0.37,1666426,46.69
"Nacional",208392,100.01,127792286,163.07
