Fecha,ConfirmadosAcum,SospechososAcum,NegativosAcum,ActivosAcum,FallecidosAcum,RecuperadosAcum,EstudiadosAcum
05-jul,256848,71305,312989,70605,30639,155604,641142
06-jul,261750,71305,312989,70974,31119,159657,641142
07-jul,268008,73035,317446,26557,32014,209437,652231
08-jul,275003,80893,328908,27891,32796,214316,684804
09-jul,282283,80988,336373,29129,33526,219628,699994
10-jul,289174,81838,344283,29627,34191,225356,715295
11-jul,295268,78393,350007,30624,34730,229914,723668
12-jul,299750,74563,354171,29839,35006,234905,728484
13-jul,304435,76824,358663,28843,35491,240101,739922
14-jul,311486,80721,363930,29329,36327,245830,756137
15-jul,317635,81411,369411,28361,36906,252368,768457
16-jul,324041,82567,375455,28786,37574,257681,782063
17-jul,331298,85877,382003,29363,38310,263625,799178
18-jul,338913,87104,388636,30896,38888,269129,814653
19-jul,344224,83542,394156,30478,39184,274562,821922
20-jul,349396,79112,399443,29549,39485,280362,827951
21-jul,356255,82866,406151,29654,40400,286201,845272
22-jul,362274,87905,411673,30044,41190,291040,861852
23-jul,370712,89547,419249,31995,41908,296809,879608
24-jul,378285,90970,426869,31150,42645,304490,896124
25-jul,385036,93433,433384,31990,43374,309672,911853
26-jul,390516,89397,438468,31812,43680,315024,918381
27-jul,395489,85986,442884,30108,44022,321359,924359
28-jul,402697,87538,449854,31128,44876,326693,940089
29-jul,408449,89978,455087,29631,45361,333457,953514
30-jul,416179,90582,461775,30890,46000,339289,968536
31-jul,424637,90022,469629,31365,46688,346584,984288
01-ago,434193,87771,477733,32994,47472,353727,999697
02-ago,439046,83119,483333,32015,47746,359285,1005498
03-ago,443813,79030,488207,28741,48012,367060,1011050
04-ago,449961,82460,493873,28754,48869,372338,1026294
05-ago,456100,85845,499915,28962,49698,377440,1041860
