"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",73,0.69,21849433,0.33
"10 a 19",149,1.41,22185367,0.67
"20 a 29",1283,12.17,21479518,5.97
"30 a 39",2250,21.34,18897970,11.91
"40 a 49",2483,23.55,16198907,15.33
"50 a 59",2141,20.31,12720337,16.83
"60 a 69",1301,12.34,8199671,15.87
"70 a 79",641,6.08,4225668,15.17
"80 y mas",223,2.11,2035415,10.96
"Nacional",10544,100,127792286,8.25
