"Entidad","FrecuenciaAcum","Porcentaje","Proyeccion","TasaIncidencia"
"Ags","53","1.54","1434635","3.69"
"BC","239","6.95","3634868","6.58"
"BCS","68","1.98","804708","8.45"
"Camp","14","0.41","1000617","1.4"
"CDMX","909","26.42","9018645","10.08"
"Chih","42","1.22","3801487","1.1"
"Chis","34","0.99","5730367","0.59"
"Coah","129","3.75","3218720","4.01"
"Col","7","0.2","785153","0.89"
"Dgo","16","0.46","1868996","0.86"
"EdoMex","399","11.6","17427790","2.29"
"Gro","49","1.42","3657048","1.34"
"Gto","71","2.06","6228175","1.14"
"Hgo","47","1.37","3086414","1.52"
"Jal","139","4.04","8409693","1.65"
"Mich","46","1.34","4825401","0.95"
"Mor","35","1.02","2044058","1.71"
"Nay","16","0.46","1288571","1.24"
"NL","107","3.11","5610153","1.91"
"Oax","40","1.16","4143593","0.97"
"Pue","198","5.75","6604451","3"
"Qro","50","1.45","2279637","2.19"
"QRoo","159","4.62","1723259","9.23"
"Sin","138","4.01","3156674","4.37"
"SLP","47","1.37","2866142","1.64"
"Son","48","1.39","3074745","1.56"
"Tab","113","3.28","2572287","4.39"
"Tamps","46","1.34","3650602","1.26"
"Tlax","29","0.84","1380011","2.1"
"Ver","54","1.57","8539862","0.63"
"Yuc","88","2.56","2259098","3.9"
"Zac","11","0.32","1666426","0.66"
"Nacional","3441","100","127792286","2.69"
