"EntidadFed","ConfirmadosNuevos","ConfirmadosAcum"
"Ags",0,4
"BC",3,11
"BCS",0,1
"Camp",1,1
"CDMX",7,56
"Chih",3,5
"Chis",0,2
"Coah",7,10
"Col",0,2
"Dgo",0,5
"EdoMex",8,22
"Gro",0,4
"Gto",0,4
"Hgo",2,5
"Jal",9,41
"Mich",3,3
"Mor",0,2
"Nay",0,1
"NL",3,35
"Oax",1,3
"Pue",0,16
"Qro",0,14
"QRoo",0,12
"Sin",1,4
"SLP",3,12
"Son",2,4
"Tab",1,5
"Tamps",1,4
"Ver",0,7
"Yuc",5,19
"Zac",1,2
