"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",950,0.94,1434635,66.22
"BC",5545,5.48,3634868,152.55
"BCS",679,0.67,804708,84.38
"Camp",735,0.73,1000617,73.45
"CDMX",32906,32.5,9018645,364.87
"Chih",1730,1.71,3801487,45.51
"Chis",1982,1.96,5730367,34.59
"Coah",1260,1.24,3218720,39.15
"Col",167,0.16,785153,21.27
"Dgo",461,0.46,1868996,24.67
"EdoMex",10824,10.69,17427790,62.11
"Gro",2062,2.04,3657048,56.38
"Gto",2037,2.01,6228175,32.71
"Hgo",1989,1.96,3086414,64.44
"Jal",2166,2.14,8409693,25.76
"Mich",2161,2.13,4825401,44.78
"Mor",1405,1.39,2044058,68.74
"Nay",624,0.62,1288571,48.43
"NL",1634,1.61,5610153,29.13
"Oax",1746,1.72,4143593,42.14
"Pue",3489,3.45,6604451,52.83
"Qro",1084,1.07,2279637,47.55
"QRoo",1999,1.97,1723259,116
"Sin",3917,3.87,3156674,124.09
"SLP",1030,1.02,2866142,35.94
"Son",2358,2.33,3074745,76.69
"Tab",4829,4.77,2572287,187.73
"Tamps",1811,1.79,3650602,49.61
"Tlax",1135,1.12,1380011,82.25
"Ver",4250,4.2,8539862,49.77
"Yuc",1957,1.93,2259098,86.63
"Zac",316,0.31,1666426,18.96
"Nacional",101238,99.99,127792286,79.22
