"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",105,0.9,1434635,7.32
"BC",1083,9.31,3634868,29.79
"BCS",241,2.07,804708,29.95
"Camp",70,0.6,1000617,7
"CDMX",3685,31.68,9018645,40.86
"Chih",194,1.67,3801487,5.1
"Chis",95,0.82,5730367,1.66
"Coah",290,2.49,3218720,9.01
"Col",15,0.13,785153,1.91
"Dgo",39,0.34,1868996,2.09
"EdoMex",1245,10.7,17427790,7.14
"Gro",157,1.35,3657048,4.29
"Gto",182,1.56,6228175,2.92
"Hgo",115,0.99,3086414,3.73
"Jal",256,2.2,8409693,3.04
"Mich",168,1.44,4825401,3.48
"Mor",112,0.96,2044058,5.48
"Nay",49,0.42,1288571,3.8
"NL",259,2.23,5610153,4.62
"Oax",86,0.74,4143593,2.08
"Pue",415,3.57,6604451,6.28
"Qro",94,0.81,2279637,4.12
"QRoo",461,3.96,1723259,26.75
"Sin",616,5.3,3156674,19.51
"SLP",73,0.63,2866142,2.55
"Son",127,1.09,3074745,4.13
"Tab",592,5.09,2572287,23.01
"Tamps",191,1.64,3650602,5.23
"Tlax",107,0.92,1380011,7.75
"Ver",230,1.98,8539862,2.69
"Yuc",234,2.01,2259098,10.36
"Zac",47,0.4,1666426,2.82
"Nacional",11633,100,127792286,9.1
