"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",220,0.53,3668,6
"BC",2417,5.87,12158,19.88
"BCS",123,0.3,3328,3.7
"Camp",396,0.96,3897,10.16
"CDMX",8440,20.49,79625,10.6
"Chih",816,1.98,4535,17.99
"Chis",842,2.04,5304,15.87
"Coah",517,1.26,10310,5.01
"Col",152,0.37,1314,11.57
"Dgo",251,0.61,3322,7.56
"EdoMex",5899,14.32,34117,17.29
"Gro",1253,3.04,9243,13.56
"Gto",786,1.91,15878,4.95
"Hgo",924,2.24,5531,16.71
"Jal",1310,3.18,11074,11.83
"Mich",650,1.58,8417,7.72
"Mor",795,1.93,3549,22.4
"Nay",303,0.74,2885,10.5
"NL",794,1.93,13340,5.95
"Oax",828,2.01,8952,9.25
"Pue",2071,5.03,17258,12
"Qro",430,1.04,3235,13.29
"QRoo",844,2.05,6450,13.09
"Sin",1941,4.71,11823,16.42
"SLP",341,0.83,6515,5.23
"Son",1581,3.84,15172,10.42
"Tab",1692,4.11,18487,9.15
"Tamps",794,1.93,12312,6.45
"Tlax",548,1.33,3605,15.2
"Ver",2308,5.6,17289,13.35
"Yuc",743,1.8,7707,9.64
"Zac",181,0.44,1974,9.17
"Nacional",41190,100,362274,11.37
