"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",4744,1.04,21849433,21.71
"10 a 19",10806,2.37,22185367,48.71
"20 a 29",65707,14.41,21479518,305.91
"30 a 39",101820,22.32,18897970,538.79
"40 a 49",100313,21.99,16198907,619.26
"50 a 59",82429,18.07,12720337,648.01
"60 a 69",51578,11.31,8199671,629.03
"70 a 79",26868,5.89,4225668,635.83
"80 y mas",11835,2.59,2035415,581.45
"Nacional",456100,99.99,127792286,356.91
