"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",4,0.3,108,3.7
"10 a 19",0,0,203,0
"20 a 29",19,1.41,1685,1.13
"30 a 39",78,5.77,3165,2.46
"40 a 49",246,18.21,3509,7.01
"50 a 59",332,24.57,3014,11.02
"60 a 69",339,25.09,1813,18.7
"70 a 79",229,16.95,858,26.69
"80 y mas",104,7.7,322,32.3
"Nacional",1351,100,14677,9.2
