"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1175,0.98,1434635,81.9
"BC",6223,5.18,3634868,171.2
"BCS",767,0.64,804708,95.31
"Camp",891,0.74,1000617,89.05
"CDMX",38060,31.69,9018645,422.01
"Chih",1916,1.6,3801487,50.4
"Chis",2544,2.12,5730367,44.4
"Coah",1573,1.31,3218720,48.87
"Col",214,0.18,785153,27.26
"Dgo",648,0.54,1868996,34.67
"EdoMex",12513,10.42,17427790,71.8
"Gro",2476,2.06,3657048,67.7
"Gto",2587,2.15,6228175,41.54
"Hgo",2266,1.89,3086414,73.42
"Jal",3023,2.52,8409693,35.95
"Mich",2608,2.17,4825401,54.05
"Mor",1544,1.29,2044058,75.54
"Nay",781,0.65,1288571,60.61
"NL",1978,1.65,5610153,35.26
"Oax",2293,1.91,4143593,55.34
"Pue",4436,3.69,6604451,67.17
"Qro",1293,1.08,2279637,56.72
"QRoo",2186,1.82,1723259,126.85
"Sin",4779,3.98,3156674,151.39
"SLP",1308,1.09,2866142,45.64
"Son",2937,2.45,3074745,95.52
"Tab",5695,4.74,2572287,221.4
"Tamps",2331,1.94,3650602,63.85
"Tlax",1375,1.14,1380011,99.64
"Ver",5153,4.29,8539862,60.34
"Yuc",2147,1.79,2259098,95.04
"Zac",382,0.32,1666426,22.92
"Nacional",120102,100.02,127792286,93.98
