"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"Ags",1903,1.05,1434635,132.65
"BC",7919,4.39,3634868,217.86
"BCS",1205,0.67,804708,149.74
"Camp",1440,0.8,1000617,143.91
"CDMX",51696,28.63,9018645,573.21
"Chih",2619,1.45,3801487,68.89
"Chis",3676,2.04,5730367,64.15
"Coah",2868,1.59,3218720,89.1
"Col",389,0.22,785153,49.54
"Dgo",1373,0.76,1868996,73.46
"EdoMex",19459,10.78,17427790,111.66
"Gro",4168,2.31,3657048,113.97
"Gto",4978,2.76,6228175,79.93
"Hgo",3188,1.77,3086414,103.29
"Jal",5130,2.84,8409693,61
"Mich",4550,2.52,4825401,94.29
"Mor",2203,1.22,2044058,107.78
"Nay",1289,0.71,1288571,100.03
"NL",3765,2.09,5610153,67.11
"Oax",3981,2.2,4143593,96.08
"Pue",7763,4.3,6604451,117.54
"Qro",1805,1,2279637,79.18
"QRoo",2930,1.62,1723259,170.03
"Sin",6701,3.71,3156674,212.28
"SLP",2257,1.25,2866142,78.75
"Son",4937,2.73,3074745,160.57
"Tab",8444,4.68,2572287,328.27
"Tamps",4161,2.3,3650602,113.98
"Tlax",1955,1.08,1380011,141.67
"Ver",7958,4.41,8539862,93.19
"Yuc",3153,1.75,2259098,139.57
"Zac",682,0.38,1666426,40.93
"Nacional",180545,100.01,127792286,141.28
