"Grupo","FrecuenciaAcum","Proyeccion","TasaIncidencia"
"0 a 9","25","21849433","0.11"
"10 a 19","50","22185367","0.23"
"20 a 29","422","21479518","1.96"
"30 a 39","625","18897970","3.31"
"40 a 49","623","16198907","3.85"
"50 a 59","520","12720337","4.09"
"60 a 69","310","8199671","3.78"
"70 a 79","168","4225668","3.98"
"80 y mas","42","2035415","2.06"
"Nacional","2785","127792286","2.18"
