"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",4279,1.05,21849433,19.58
"10 a 19",9369,2.29,22185367,42.23
"20 a 29",58103,14.23,21479518,270.5
"30 a 39",91133,22.31,18897970,482.24
"40 a 49",90363,22.12,16198907,557.83
"50 a 59",74100,18.14,12720337,582.53
"60 a 69",46403,11.36,8199671,565.91
"70 a 79",24125,5.91,4225668,570.92
"80 y mas",10574,2.59,2035415,519.5
"Nacional",408449,100,127792286,319.62
