"Grupo","FrecuenciaAcum","Porcentaje","Referencia","Tasa"
"0 a 9",2988,1.03,21849433,13.68
"10 a 19",6225,2.15,22185367,28.06
"20 a 29",39443,13.64,21479518,183.63
"30 a 39",64338,22.25,18897970,340.45
"40 a 49",64944,22.46,16198907,400.92
"50 a 59",53476,18.49,12720337,420.4
"60 a 69",33152,11.46,8199671,404.31
"70 a 79",17106,5.92,4225668,404.81
"80 y mas",7502,2.59,2035415,368.57
"Nacional",289174,99.99,127792286,226.28
